iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
0,1.319,0.039,3.038,4.477,2,9
1,0.065,43785.9,0.761,43786.8,5,16
2,0.254,23165.9,0.752,23167.1,9,26
3,0.225,6596.08,0.548,6596.98,13,36
4,0.224,1137.18,9.249,1146.79,14,39
5,2.014,10715,10.326,10727.5,15,42
6,0.239,27194.1,1.281,27195.7,25,62
7,0.307,38812.1,14.367,38826.9,38,89
8,0.248,0.036,21.302,21.684,38,89
9,3.888,3340.91,11.362,3356.31,39,92
10,0.336,8253.97,16.355,8270.8,45,104
11,5.08,25066.6,2.215,25074,53,120
12,0.317,25022.7,16.886,25040,69,152
13,0.35,5649.35,2.311,5652.16,75,164
14,8.628,3689.33,16.219,3714.3,76,167
15,0.374,0.199,29.238,29.914,76,167
16,0.057,3050.27,2.779,3053.2,80,175
17,10.32,2627.84,38.435,2676.77,82,179
18,0.382,5120.96,18.996,5140.47,88,191
19,14.378,3489.39,17.661,3521.6,89,194
20,0.362,0.152,48.433,49.049,89,194
21,0.052,4366.54,3.305,4370.03,94,205
22,0.287,13935.4,29.713,13965.6,105,228
23,0.247,8395.78,24.126,8420.31,113,244
24,0.252,3179.36,22.529,3202.26,117,252
25,0.266,0.101,47.111,47.581,117,252
26,14.173,11064.3,4.711,11083.4,124,267
27,0.263,2735.54,3.438,2739.4,128,275
28,0.229,1890.16,34.445,1924.93,130,279
29,17.341,6022.89,25.305,6065.65,134,287
30,0.224,3240.22,36.352,3276.95,138,295
31,0.249,0.247,34.861,35.459,138,295
32,0.065,5266.71,26.204,5293.11,146,311
33,0.199,4959.48,26.214,4986,153,326
34,0.32,13485.3,7.945,13493.8,156,333
35,0.258,6893.19,49.532,6943.07,161,344
36,0.301,8996.32,28.317,9025.03,171,364
37,0.251,3173.13,28.23,3201.72,175,372
38,0.26,1513.28,53.112,1566.82,177,376
39,0.587,0.117,57.679,58.478,177,376
40,0.055,9235.82,7.913,9243.92,181,386
41,24.569,1527.72,35.838,1588.24,182,389
42,0.265,4837.09,6,4843.45,185,396
43,0.186,1153.35,37.69,1191.37,187,400
44,0.151,9171.96,35.26,9207.45,194,415
45,0.323,5630.94,4.875,5636.26,200,427
46,0.277,1957,46.628,2004.04,202,431
47,0.283,13848.1,46.986,13895.5,208,443
48,0.427,4368.54,42.312,4411.44,212,451
49,0.36,9653.82,40.2,9694.48,222,471
50,0.457,15806.4,7.283,15814.3,230,487
51,0.292,0.073,75.34,75.796,230,487
52,0.058,10060.7,33.936,10094.8,242,511
53,0.203,11603.6,32.148,11636.1,256,539
54,0.277,6471.4,38.471,6510.23,263,554
55,0.28,0.074,69.373,69.809,263,554
56,0.058,0.029,28.949,29.117,263,554
57,0.104,1265.19,44.081,1309.47,265,558
58,0.202,6592.9,36.75,6629.95,272,573
59,39.684,6331.04,7.065,6377.91,276,581
60,0.26,4440.26,6.545,4447.2,281,592
61,0.218,4811.78,6.468,4818.57,286,603
62,33.437,1477.03,55.787,1566.4,288,607
63,0.231,5601.76,45.404,5647.54,295,622
64,0.208,0.167,81.358,81.816,295,622
65,0.05,0.03,39.959,40.121,295,622
66,0.056,0.051,80.593,80.783,295,622
67,0.045,4886.94,37.035,4924.12,302,637
68,0.163,1233.82,53.382,1287.44,304,641
69,0.201,0.072,75.367,75.721,304,641
70,0.045,3166.33,7.054,3173.53,308,649
71,39.92,1441.46,54.099,1535.57,310,653
72,0.226,2209.39,6.836,2216.55,314,661
73,0.192,1333.41,55.503,1389.19,316,665
74,0.27,6085.76,40.697,6126.88,323,680
75,0.196,0.046,76.318,76.64,323,680
76,0.045,1222.91,55.721,1278.77,325,684
77,0.167,0.102,117.814,118.163,325,684
78,0.059,1118.94,58.107,1177.19,327,688
79,0.101,0.062,74.057,74.3,327,688
80,0.045,0.035,59.352,59.513,327,688
81,0.047,1377.53,47.738,1425.48,329,692
82,0.18,0.08,74.717,75.058,329,692
83,44.945,3182.19,41.034,3268.26,332,699
84,0.211,4354.46,42.136,4396.93,336,707
85,0.188,5555.65,7.151,5563.08,342,719
86,0.16,2263.8,58.879,2322.93,344,723
87,0.157,4600.85,41.736,4642.87,349,734
88,0.174,3051.25,46.041,3097.54,353,742
89,0.198,5509.48,64.658,5574.43,360,757
90,0.268,0.154,97.696,98.2,360,757
91,0.057,0.029,58.951,59.118,360,757
92,0.045,1532.06,66.306,1598.54,362,761
93,0.176,1059.06,71.743,1131.09,364,765
94,0.167,6053.64,51.653,6105.6,372,781
95,0.303,1091.33,67.636,1159.4,374,785
96,0.163,3385.18,44.819,3430.29,379,796
97,0.224,2798.97,49.256,2848.53,383,804
98,0.209,0.185,67.808,68.283,383,804
99,0.058,2710.64,10.896,2721.68,386,811
100,0.194,1256.56,62.47,1319.3,388,815
101,0.233,0.173,103.946,104.432,388,815
102,0.044,0.029,93.819,93.974,388,815
103,0.092,0.029,48.555,48.757,388,815
104,0.044,0.077,76.815,77.021,388,815
105,0.048,6658.58,52.469,6711.18,396,831
106,0.253,2795.16,8.573,2804.14,400,839
107,0.274,2810.24,8.457,2819.12,404,847
108,0.188,5854.11,11.388,5865.79,409,858
109,0.187,6872.31,64.756,6937.39,415,870
110,0.229,0.068,77.51,77.894,415,870
111,0.05,0.03,104.284,104.452,415,870
112,65.291,2567.55,9.901,2642.85,419,878
113,0.23,0.153,119.629,120.099,419,878
114,0.058,1629.01,70.555,1699.71,421,882
115,0.186,0.04,90.261,90.575,421,882
116,0.06,0.03,97.905,98.082,421,882
117,0.089,4936.13,12.043,4948.36,427,894
118,0.285,3555.11,64.585,3620.14,431,902
119,0.204,2989.61,10.741,3000.7,435,910
120,0.145,0.09,115.351,115.718,435,910
121,0.091,9056.66,59.417,9116.26,447,934
122,0.255,1391.06,98.136,1489.55,449,938
123,0.173,3703.76,49.655,3753.68,455,950
124,75.384,1545.73,75.558,1696.77,457,954
125,0.112,2607.39,53.316,2660.91,461,962
126,0.234,1541.57,81.056,1622.99,463,966
127,0.158,1208.96,95.507,1304.78,465,970
128,0.19,3061.65,11.952,3073.93,469,978
129,0.196,3701.8,16.506,3718.61,472,985
130,0.398,5407.58,78.342,5486.42,478,997
131,0.341,0.052,120.713,121.197,478,997
132,0.056,4664.52,61.83,4726.52,484,1009
133,80.583,1914.79,90.594,2086.13,486,1013
134,0.384,3113.36,18.711,3132.61,489,1020
135,0.397,1554.01,100.977,1655.49,491,1024
136,0.28,2882.42,14.244,2897.08,495,1032
137,0.321,3808.05,15.543,3824.03,499,1040
138,0.397,3489.33,19.164,3509.06,502,1047
139,0.345,0.078,187.496,188.022,502,1047
140,81.477,3346.66,16.024,3444.33,506,1055
141,0.381,1767.26,97.568,1865.32,508,1059
142,0.581,0.106,153.95,154.73,508,1059
143,0.11,8562.76,75.852,8638.84,518,1079
144,0.326,0.097,155.254,155.779,518,1079
145,0.279,0.057,166.561,167.004,518,1079
146,0.053,5079.15,81.614,5160.93,524,1091
147,0.349,4325.08,18.769,4344.36,528,1099
148,0.347,1842.06,112.777,1955.32,530,1103
149,0.302,0.11,177.239,177.743,530,1103
150,0.118,7303.05,91.957,7395.23,538,1119
151,0.28,0.145,107.192,107.709,538,1119
152,0.116,3426.97,85.504,3512.68,542,1127
153,0.318,0.175,158.444,159.031,542,1127
154,0.053,1455.07,106.376,1561.61,544,1131
155,0.21,6263.74,76.482,6340.58,552,1147
156,0.272,5517.08,83.884,5601.36,558,1159
157,81.456,1861.69,122.825,2066.08,560,1163
158,0.353,1748.48,122.486,1871.43,562,1167
159,0.274,2098.53,97.015,2195.93,564,1171
160,0.37,0.072,202.84,203.373,564,1171
161,0.069,3490.63,19.647,3510.46,568,1179
162,0.394,0.14,123.94,124.569,568,1179
163,0.068,1693.44,128.386,1822.02,570,1183
164,0.369,1307.78,105.837,1414.08,572,1187
165,0.21,6516.29,87.109,6603.75,578,1199
166,0.372,3942.47,24.29,3967.26,582,1207
167,0.333,1700.17,117.801,1818.44,584,1211
168,0.286,6544.32,85.692,6630.42,592,1227
169,0.252,0.059,230.113,230.565,592,1227
170,0.163,1577.84,117.078,1695.26,594,1231
171,0.256,1576.57,128.64,1705.61,596,1235
