iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
0,2.931,0.106,8.855,12,2,9
1,0.098,42130.5,0.546,42131.2,5,16
2,0.238,28847.6,1.374,28849.4,9,26
3,0.281,7439.6,1.016,7441,13,36
4,0.3,1104.31,17.076,1121.93,14,39
5,3.206,12335.5,15.856,12354.7,15,42
6,0.4,45486.8,1.708,45489,26,65
7,0.359,28503.9,21.878,28526.2,38,89
8,0.268,0.036,24.307,24.709,38,89
9,4.089,20913.1,2.468,20919.8,42,97
10,0.332,6608.86,21.662,6631,48,109
11,13.167,15816.5,23.12,15852.9,52,117
12,0.298,5264.95,1.869,5267.22,58,129
13,0.393,0.081,32.947,33.521,58,129
14,13.898,4392.55,17.722,4424.38,59,132
15,0.295,1269.59,2.705,1272.69,63,140
16,0.857,2645.97,2.466,2649.43,68,151
17,9.339,10441.8,3.905,10455.3,73,162
18,0.299,19773.7,22.398,19796.6,88,193
19,18.798,4228.6,32.024,4279.54,90,197
20,0.346,3627.99,24.208,3652.65,96,209
21,0.311,4072.09,5.246,4077.8,100,217
22,0.337,13683.3,27.516,13711.3,109,236
23,0.392,19148.6,24.664,19173.7,126,271
24,0.34,5501.2,47.287,5548.98,133,286
25,0.54,3173.42,40.121,3214.22,141,302
26,27.247,1100,32.712,1160.16,142,305
27,0.521,3065.82,36.983,3103.43,149,320
28,0.423,14792.3,40.35,14833.2,165,352
29,28.069,4530.07,32.552,4590.99,166,355
30,0.415,4883.06,36.92,4920.48,173,370
31,0.277,1201.3,42.819,1244.49,174,373
32,0.555,0.036,83.636,84.321,174,373
33,0.06,578.83,46.73,625.723,176,377
34,0.505,2090.6,33.499,2124.71,180,385
35,0.408,3935.92,54.422,3990.86,185,396
36,0.368,0.041,77.135,77.658,185,396
37,0.072,6017.9,10.176,6028.27,188,403
38,0.373,1908.31,35.426,1944.24,194,415
39,0.356,2968.8,43.246,3012.5,201,430
40,0.268,6245.44,8.25,6254.17,204,437
41,31.387,7904.08,9.902,7945.61,210,449
42,0.351,9510.93,44.301,9555.72,224,477
43,0.386,4624.4,52.954,4677.83,231,492
44,0.294,1230.08,44.381,1275.02,235,500
45,0.509,685.364,72.266,758.259,237,504
46,0.469,3871.47,55.508,3927.7,242,515
47,0.395,0.036,79.826,80.39,242,515
48,0.058,0.048,84.151,84.352,242,515
49,0.07,0.035,34.53,34.735,242,515
50,1.13,3328.86,48.528,3378.62,249,530
51,0.292,2433.35,56.985,2490.76,253,538
52,0.333,0.037,89.801,90.264,253,538
53,0.107,845.362,70.873,916.478,255,542
54,0.553,0.036,92.351,93.04,255,542
55,0.055,5595.25,56.625,5652.03,260,553
56,0.517,9376.21,56.174,9433.11,268,569
57,0.353,3475.64,57.924,3534.12,272,577
58,0.484,1834.64,7.147,1842.41,276,585
59,54.19,2701.47,62.111,2817.88,279,592
60,0.592,3468.98,7.861,3477.64,284,603
61,0.337,0.081,116.248,116.804,284,603
62,44.758,2386.25,78.764,2509.91,286,607
63,0.547,3683.86,67.331,3751.84,292,619
64,0.471,0.034,68.905,69.576,292,619
65,0.06,0.037,73.466,73.668,292,619
66,0.117,0.061,49.083,49.362,292,619
67,0.132,635.889,56.668,692.824,294,623
68,0.186,0.086,95.254,95.661,294,623
69,0.155,0.033,72.135,72.417,294,623
70,0.054,3222.48,44.819,3267.45,301,638
71,50.734,3024.1,76.472,3151.49,303,642
72,0.305,3550.11,51.142,3601.67,309,654
73,0.308,3681.26,52.991,3734.68,315,666
74,0.378,8189.17,58.999,8248.65,331,698
75,0.371,759.893,81.542,841.928,333,702
76,0.518,0.036,90.139,90.786,333,702
77,0.059,0.037,83.114,83.302,333,702
78,0.053,724.307,102.955,827.417,335,706
79,0.475,0.035,100.873,101.514,335,706
80,0.117,2353.52,56.611,2410.34,341,718
81,0.413,580.934,71.148,652.612,343,722
82,0.157,5286.52,9.549,5296.35,351,738
83,63.115,1339.26,80.545,1483.08,353,742
84,0.356,2198.39,56.235,2255.1,357,750
85,0.4,0.056,118.513,119.064,357,750
86,0.056,3514.77,57.456,3572.4,363,762
87,0.319,0.035,125.384,125.921,363,762
88,0.121,3195.11,54.13,3249.51,373,782
89,0.435,785.716,89.103,875.5,375,786
90,0.386,1304.39,10.518,1315.57,379,794
91,0.36,3186.33,76.575,3263.4,385,806
92,0.328,3581,84.875,3666.3,390,817
93,0.347,0.036,146.622,147.175,390,817
94,0.162,0.039,130.245,130.541,390,817
95,1.051,0.409,241.245,242.876,390,817
96,0.07,1024.95,88.73,1113.85,392,821
97,0.424,0.036,91.503,92.056,392,821
98,0.115,0.033,143.54,143.866,392,821
99,0.128,0.258,117.138,117.619,392,821
100,1.272,3912.82,83.713,3997.97,400,837
101,0.376,3761.68,63.972,3826.18,408,853
102,0.292,1452.49,60.258,1513.15,412,861
103,0.449,960.657,72.327,1033.58,414,865
104,0.425,0.162,112.882,113.586,414,865
105,0.058,0.114,107.113,107.517,414,865
106,0.069,2512.14,18.859,2531.21,417,872
107,0.395,0.169,117.599,118.257,417,872
108,0.056,915.608,92.992,1008.77,419,876
109,0.299,398.354,74,472.753,421,880
110,0.25,0.094,97.657,98.097,421,880
111,0.057,1906.15,64.823,1971.21,425,888
112,79.154,1100.71,98.444,1278.49,427,892
113,0.5,1965.02,73.88,2039.57,431,900
114,0.41,2140.61,82.784,2223.99,435,908
115,0.41,1993.52,15.404,2009.43,438,915
116,0.363,0.051,132.319,132.821,438,915
117,0.093,3183.75,77.651,3261.62,444,927
118,0.373,2607.88,20.403,2628.81,447,934
119,0.382,1540.73,16.521,1557.74,450,941
120,0.433,1601.18,76.271,1678.15,454,949
121,0.542,749.793,122.512,873.074,456,953
122,0.353,347.961,90.037,438.48,458,957
123,0.215,2676.73,73.96,2751.02,466,973
124,78.208,2138.19,20.538,2237.11,470,981
125,0.71,773.698,109.853,884.356,472,985
126,0.534,805.965,109.201,915.872,474,989
127,0.373,2275.03,18.788,2294.35,477,996
128,0.319,1472.24,18.061,1490.79,481,1004
129,0.433,0.036,163.6,164.199,481,1004
130,0.059,1924.12,19.724,1943.99,485,1012
131,0.383,0.123,146.249,146.93,485,1012
132,0.12,1391.1,88.43,1479.78,489,1020
133,71.426,664.016,96.26,831.864,490,1023
134,0.429,702.838,89.977,793.341,492,1027
135,0.41,1219.77,68.099,1288.36,496,1035
136,0.394,1585.23,58.89,1644.63,502,1047
137,0.324,924.235,107.762,1032.43,504,1051
138,0.498,2917.89,87.141,3005.75,510,1063
139,0.527,3079.96,113.704,3194.33,516,1075
140,102.872,1528.37,116.838,1748.27,518,1079
141,0.467,922.42,121.905,1044.98,520,1083
142,0.366,401.484,125.247,527.19,522,1087
143,0.277,0.323,194.051,194.744,522,1087
144,0.061,0.036,150.426,150.616,522,1087
145,0.071,839.285,116.919,956.405,524,1091
146,0.596,2252.78,75.001,2328.49,530,1103
