iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices,cascade_activations,faces_created,edges_created,add_face_calls,update_info_calls
95,0.058,237.39,53.132,290.673,266,563,0,24,20,12,16
96,0.057,1186.17,40.678,1227.02,272,575,2,72,60,36,47
97,0.416,155.62,48.39,204.527,274,579,0,24,20,12,16
98,0.058,0.187,71.671,72.018,274,579,0,0,0,0,6
99,0.065,624.262,57.676,682.226,276,583,0,24,20,12,16
100,0.892,1513.98,43.004,1558.04,284,599,3,96,80,48,62
101,0.272,0.037,85.721,86.232,284,599,0,0,0,0,8
102,0.059,273.891,53.811,327.863,286,603,0,24,20,12,16
103,0.113,198.771,54.045,253.029,288,607,0,24,20,12,16
104,0.051,951.275,37.63,989.086,292,615,1,48,40,24,31
105,0.366,1272.12,8.725,1281.31,298,627,2,72,60,36,40
106,0.361,0.04,77.75,78.314,298,627,0,0,0,0,5
107,0.057,400.955,10.573,411.679,301,634,1,36,32,18,21
108,0.151,1367,38.551,1405.83,307,646,2,72,60,36,47
109,0.442,202.369,45.074,247.966,309,650,0,24,20,12,16
110,0.097,0.102,97.616,97.897,309,650,0,0,0,0,8
111,0.097,0.041,47.716,47.939,309,650,0,0,0,0,4
112,205.213,296.502,54.102,555.984,311,654,0,24,20,12,16
113,0.176,0.044,56.747,57.056,311,654,0,0,0,0,5
114,0.063,0.077,66.057,66.324,311,654,0,0,0,0,5
115,0.103,1368.08,47.509,1415.79,315,662,1,48,40,24,31
116,0.305,1794.14,56.936,1851.49,322,677,3,84,72,42,55
117,0.367,0.044,90.674,91.18,322,677,0,0,0,0,8
118,0.056,1553.33,47.139,1600.72,330,693,3,96,80,48,62
119,0.491,0.067,126.53,127.195,330,693,0,0,0,0,8
120,0.114,0.033,53.954,54.207,330,693,0,0,0,0,4
121,0.073,853.678,7.397,861.258,334,701,1,48,40,24,28
122,0.442,0.033,87.25,87.856,334,701,0,0,0,0,6
123,0.056,204.67,59.8,264.619,336,705,0,24,20,12,16
124,45.182,367.763,52.601,465.663,338,709,0,24,20,12,16
125,0.197,1564.35,10.522,1575.18,344,721,2,72,60,36,40
126,0.515,942.326,48.938,991.88,350,733,2,72,60,36,47
127,0.528,206.126,63.424,270.184,352,737,0,24,20,12,16
128,0.063,603.086,67.086,670.347,354,741,0,24,20,12,16
129,0.441,1528.92,12.689,1542.17,358,749,1,48,40,24,28
130,0.411,1918.9,58.245,1977.66,365,764,3,84,72,42,52
131,0.399,0.037,104.379,104.916,365,764,0,0,0,0,8
132,0.059,0.034,54.412,54.606,365,764,0,0,0,0,4
133,55.919,149.278,45.049,250.368,366,767,0,12,12,6,9
134,0.226,1504.61,37.896,1542.85,374,783,3,96,80,48,59
135,0.652,918.726,51.774,971.302,378,791,1,48,40,24,31
136,0.523,0.037,89.174,89.835,378,791,0,0,0,0,6
137,0.066,298.91,62.592,361.746,380,795,0,24,20,12,16
138,0.169,0.116,104.31,104.699,380,795,0,0,0,0,8
139,0.068,0.099,58.879,59.19,380,795,0,0,0,0,4
140,57,851.861,75.044,984.026,382,799,0,24,20,12,16
141,0.393,0.14,119.689,120.319,382,799,0,0,0,0,8
142,0.055,538.542,45.529,584.321,386,807,1,48,40,24,31
143,0.099,0.054,68.954,69.202,386,807,0,0,0,0,5
144,0.124,235.36,64.24,299.825,388,811,0,24,20,12,16
145,0.109,0.079,68.324,68.607,388,811,0,0,0,0,4
146,0.049,0.033,87.761,87.94,388,811,0,0,0,0,6
147,0.049,0.031,80.731,80.906,388,811,0,0,0,0,6
148,0.048,714.823,45.647,760.61,392,819,1,48,40,24,31
149,0.184,935.568,56.861,992.702,396,827,1,48,40,24,31
150,0.923,995.693,58.879,1055.68,400,835,1,48,40,24,31
151,0.218,881.265,73.943,955.531,404,843,1,48,40,24,31
152,0.442,861.032,57.256,918.825,410,855,2,72,60,36,43
153,0.114,0.253,82.975,83.444,410,855,0,0,0,0,4
154,0.052,607.066,51.611,658.821,414,863,1,48,40,24,31
155,0.123,1334.16,10.983,1345.36,420,875,2,72,60,36,43
156,0.554,1485.67,71.986,1558.32,426,887,2,72,60,36,43
157,55.261,164.179,62.098,281.664,427,890,0,12,12,6,9
158,0.088,0.045,89.439,89.675,427,890,0,0,0,0,5
159,0.052,995,50.239,1045.41,431,898,1,48,40,24,31
160,0.41,0.076,62.436,63.008,431,898,0,0,0,0,4
161,0.049,1699.4,64.001,1763.54,439,914,3,96,80,48,62
162,0.391,312.08,70.583,383.162,441,918,0,24,20,12,16
163,0.679,401.262,83.361,485.486,443,922,0,24,20,12,16
164,0.148,719.311,86.992,806.542,445,926,0,24,20,12,16
165,0.347,0.048,131.508,132.068,445,926,0,0,0,0,8
166,0.113,0.034,78.441,83.792,445,926,0,0,0,0,4
167,0.106,0.034,132.754,132.987,445,926,0,0,0,0,8
168,0.052,274.783,80.224,355.275,447,930,0,24,20,12,16
169,0.108,1584.52,84.308,1669.06,453,942,2,72,60,36,43
170,0.552,1067.08,58.003,1125.75,459,954,2,72,60,36,47
171,0.207,560.595,115.247,676.197,461,958,0,24,20,12,16
172,0.329,1248.15,57.315,1305.92,469,974,3,96,80,48,59
173,0.239,1052.3,52.886,1105.59,473,982,1,48,40,24,31
174,0.431,556.046,50.822,607.439,477,990,1,48,40,24,31
175,0.102,624.321,94.595,719.115,479,994,0,24,20,12,16
176,0.408,0.053,179.332,179.971,479,994,0,0,0,0,8
177,0.108,296.215,95.268,391.693,481,998,0,24,20,12,16
178,0.067,709.213,15.555,724.938,485,1006,1,48,40,24,28
179,0.134,1263.44,58.764,1322.43,491,1018,2,72,60,36,47
180,0.327,0.032,99.154,99.601,491,1018,0,0,0,0,6
181,0.093,1752.07,54.005,1806.35,499,1034,3,96,80,48,58
182,0.287,214.873,76.953,292.234,501,1038,0,24,20,12,16
183,0.098,324.833,66.8,391.822,503,1042,0,24,20,12,16
184,0.101,545.988,138.297,684.474,505,1046,0,24,20,12,16
185,0.416,412.124,100.536,513.17,507,1050,0,24,20,12,16
186,0.198,248.601,79.392,328.284,509,1054,0,24,20,12,16
187,0.122,1352.49,19.429,1372.17,515,1066,2,72,60,36,40
188,0.289,0.135,59.83,60.369,515,1066,0,0,0,0,3
189,0.062,844.083,58.05,902.289,521,1078,2,72,60,36,47
190,0.138,564.913,95.874,661.006,523,1082,0,24,20,12,16
191,0.347,608.166,61.078,669.692,527,1090,1,48,40,24,31
192,0.103,0.118,145.935,146.236,527,1090,0,0,0,0,8
193,0.056,238.327,72.011,310.474,529,1094,0,24,20,12,16
194,0.087,883.23,65.27,948.667,535,1106,2,72,60,36,43
195,0.099,213.045,74.011,287.236,537,1110,0,24,20,12,16
196,56.758,321.98,77.458,456.29,539,1114,0,24,20,12,16
197,0.177,2169.25,69.946,2239.5,549,1134,4,120,100,60,77
198,0.426,1346.75,77.194,1424.6,553,1142,1,48,40,24,31
199,0.294,1077.4,71.742,1149.54,559,1154,2,72,60,36,43
200,1.174,731.961,110.362,843.652,561,1158,0,24,20,12,16
201,0.284,0.037,145.233,145.646,561,1158,0,0,0,0,8
202,0.105,2182.52,86.822,2269.57,569,1174,3,96,80,48,58
203,0.408,1277.63,73.7,1351.86,575,1186,2,72,60,36,47
204,0.256,647.966,131.979,780.468,577,1190,0,24,20,12,16
205,0.442,1610.95,93.512,1705.07,583,1202,2,72,60,36,46
206,0.42,0.069,189.431,190.033,583,1202,0,0,0,0,8
207,0.104,713.122,117.84,831.336,585,1206,0,24,20,12,16
208,0.456,0.075,144.166,144.793,585,1206,0,0,0,0,7
209,0.055,1159.64,22.443,1182.27,591,1218,2,72,60,36,43
210,0.23,634.389,136.09,770.825,593,1222,0,24,20,12,16
211,0.435,402.243,129.394,532.174,595,1226,0,24,20,12,16
212,0.177,283.228,112.434,396.102,597,1230,0,24,20,12,16
213,0.112,889.957,83.315,973.497,601,1238,1,48,40,24,31
214,0.183,210.536,102.367,313.298,602,1241,0,12,12,6,9
215,0.124,1567.42,16.858,1584.5,608,1253,2,72,60,36,43
216,0.312,0.138,170.49,171.061,608,1253,0,0,0,0,7
217,0.102,1819.28,88.315,1907.81,614,1265,2,72,60,36,47
218,0.485,850.048,28.381,879.014,618,1273,1,48,40,24,28
219,86.164,1222.48,17.15,1325.98,622,1281,1,48,40,24,28
220,0.424,1795.09,109.247,1904.9,630,1297,3,96,80,48,62
221,0.314,1145.32,77.3,1223.07,634,1305,1,48,40,24,31
222,0.414,0.034,170.967,171.512,634,1305,0,0,0,0,8
223,0.113,343.411,106.889,450.513,636,1309,0,24,20,12,16
224,0.13,0.104,84.529,84.922,636,1309,0,0,0,0,3
225,0.109,0.033,153.564,153.801,636,1309,0,0,0,0,8
226,0.072,2124.18,92.889,2217.29,644,1325,3,96,80,48,62
227,0.31,1194.79,92.639,1287.82,650,1337,2,72,60,36,43
228,0.25,1301.06,24.98,1326.43,654,1345,1,48,40,24,28
229,78.857,1577.75,33.396,1690.15,658,1353,1,48,40,24,28
230,0.365,1724.47,92.322,1817.29,664,1365,2,72,60,36,47
231,0.331,438.149,123.445,562.051,666,1369,0,24,20,12,16
232,0.157,725.087,129.163,854.539,668,1373,0,24,20,12,16
233,0.463,1239.34,86.197,1326.09,674,1385,2,72,60,36,47
234,0.177,1771.31,105.495,1877.15,680,1397,2,72,60,36,43
235,0.376,391.998,125.291,517.783,682,1401,0,24,20,12,16
236,0.115,1636.25,86.987,1723.44,688,1413,2,72,60,36,47
237,82.255,869.652,81.444,1033.46,692,1421,1,48,40,24,31
238,0.133,0.045,160.805,161.071,692,1421,0,0,0,0,8
239,0.095,0.057,123.7,123.939,692,1421,0,0,0,0,5
240,0.119,868.778,26.306,895.29,696,1429,1,48,40,24,28
241,0.144,1192.78,20.911,1213.93,700,1437,1,48,40,24,28
242,0.317,0.166,220.974,221.593,700,1437,0,0,0,0,6
243,0.106,519.234,121.635,641.069,702,1441,0,24,20,12,16
244,0.182,2342.34,117.851,2460.47,710,1457,3,96,80,48,59
245,0.38,420.442,126.04,546.965,712,1461,0,24,20,12,16
246,0.101,0.102,187.667,187.972,712,1461,0,0,0,0,7
247,0.055,385.053,126.757,511.965,714,1465,0,24,20,12,16
248,0.133,0.082,171.587,171.903,714,1465,0,0,0,0,7
249,0.051,408.967,145.801,554.92,716,1469,0,24,20,12,16
250,0.115,882.47,190.134,1072.85,718,1473,0,24,20,12,16
251,98.315,285.284,108.514,492.221,719,1476,0,12,12,6,9
252,0.137,0.219,268.572,269.055,719,1476,0,0,0,0,8
253,0.112,1523.42,26.356,1549.98,725,1488,2,72,60,36,43
254,70.087,431.777,138.011,639.98,727,1492,0,24,20,12,16
255,196.337,665.389,141.533,1003.44,729,1496,0,24,20,12,16
256,124.329,280.913,107.498,512.927,730,1499,0,12,12,6,9
257,1.361,735.417,158.513,895.53,732,1503,0,24,20,12,16
258,0.179,395.84,134.256,530.367,734,1507,0,24,20,12,16
259,0.106,0.057,186.592,186.849,734,1507,0,0,0,0,7
260,0.144,0.14,202.627,203.004,734,1507,0,0,0,0,8
261,0.05,2429.88,102.329,2532.36,742,1525,4,96,84,48,60
262,0.414,769.519,103.694,873.728,745,1532,1,36,32,18,24
263,0.169,0.15,251.604,252.025,745,1532,0,0,0,0,8
264,0.141,664.802,115.416,780.451,746,1535,0,12,12,6,9
