iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
139,0.315,38118.5,10124.8,48243.8,533,1108
140,113624,17624.3,6177.57,137426,534,1111
141,0.337,37418.5,9188.06,46607,536,1115
142,0.33,131870,6172,138042,542,1127
143,0.37,0.275,16728.2,16729,542,1127
144,0.265,0.258,13340.4,13341.1,542,1127
145,0.251,0.102,16768.8,16769.3,542,1127
146,0.452,131034,6198.05,137232,548,1139
147,0.259,0.121,13740.9,13741.4,548,1139
148,0.348,140929,6686.76,147617,554,1151
149,0.36,191383,6650.72,198034,562,1167
150,1.11,0.221,17963.8,17965.3,562,1167
151,0.389,173595,6455.73,180051,570,1183
152,0.498,0.042,13914.6,13915.3,570,1183
153,0.368,40117.9,11972.1,52090.5,572,1187
154,0.423,0.229,16225.4,16226.2,572,1187
155,0.412,39292.1,10945.6,50238.3,574,1191
156,0.269,40773.4,10034.3,50808.1,576,1195
157,122403,36542.4,8628.14,167574,578,1199
158,0.303,85943.1,8101.19,94044.8,582,1207
159,0.376,177586,7467.59,185054,590,1223
160,0.987,42308,9367.36,51676.5,592,1227
161,0.329,40055,11821.2,51876.7,594,1231
162,0.301,93028.2,7978.76,101007,598,1239
163,0.397,89561.2,52.432,89614.2,602,1247
164,0.448,42665,9638.69,52304.4,604,1251
165,0.479,176463,6275.63,182739,612,1267
166,0.443,0.077,14304.1,14304.8,612,1267
167,0.54,38744.2,9458.37,48203.2,614,1271
168,0.421,57930.7,6149.61,64080.9,617,1278
169,0.439,40636.6,10305.5,50942.6,619,1282
170,0.47,140100,6767.64,146869,625,1294
171,0.48,119938,6646.88,126585,631,1306
172,0.413,0.091,11390.4,11391.1,631,1306
173,0.34,0.203,10835.8,10836.5,631,1306
174,0.36,38233.2,9394.5,47628.2,633,1310
175,0.318,44815.4,10280.3,55096.2,635,1314
176,0.351,17861.1,6332.2,24193.8,636,1317
177,0.311,84470.4,45.416,84516.2,640,1325
178,0.369,85200.5,41.499,85242.5,644,1333
179,0.392,98238.6,38.602,98277.7,648,1341
180,0.28,0.122,17797.3,17797.9,648,1341
181,0.295,87833.2,7667.82,95501.4,652,1349
182,0.302,102814,5247.47,108062,657,1360
183,0.328,0.163,15975.1,15975.8,657,1360
184,0.236,85645.4,8380.74,94026.6,661,1368
185,0.367,103886,6749.47,110636,666,1379
186,1.031,35278.5,9418.4,44698.1,668,1383
187,0.291,43244.2,9433.62,52678.3,670,1387
188,0.284,146102,6795.82,152898,676,1399
189,0.364,0.07,13231.8,13232.4,676,1399
190,0.317,44900.8,9557.06,54458.4,678,1403
191,0.38,174023,6620.56,180644,686,1419
192,0.378,102144,48.731,102193,691,1430
193,0.339,44860.8,9552.01,54413.3,693,1434
194,0.394,40485.7,8420.91,48907.2,695,1438
195,0.388,44833,9983.68,54817.2,697,1442
196,148484,18699.4,6754.02,173938,698,1445
197,0.703,37703,9973.63,47677.5,700,1449
198,0.421,0.189,10187,10187.8,700,1449
199,0.28,40008.1,12302.3,52310.8,702,1453
200,0.784,38237.2,9860.2,48098.3,704,1457
201,0.446,128096,50.217,128147,710,1469
202,0.347,103449,54.505,103504,715,1480
203,0.387,0.279,9311.25,9312.08,715,1480
204,0.485,0.115,17889.2,17889.9,715,1480
205,0.31,37719.9,6930.26,44650.6,717,1484
206,0.312,122487,6486.72,128974,723,1496
207,0.606,136135,6050.36,142186,729,1508
208,0.767,0.071,12131.3,12132.3,729,1508
209,0.437,48756.1,15281.2,64037.9,731,1512
210,0.389,43432,8783.19,52215.8,733,1516
211,0.566,46735.9,9238.04,55974.7,735,1520
212,3.711,44162,8019.08,52185,737,1524
213,0.362,0.466,17282.4,17283.4,737,1524
214,0.265,0.112,13838.1,13838.6,737,1524
215,0.374,40160.5,7770.09,47931.2,739,1528
216,0.335,39367.8,11014.6,50382.9,741,1532
217,0.402,39328,9362.91,48691.5,743,1536
218,0.374,37784.7,8086.71,45872,745,1540
219,158721,139900,5438.24,304060,752,1555
220,0.668,101756,61.486,101818,757,1566
221,0.435,38889.5,8315.69,47205.8,759,1570
222,0.378,144751,5250.51,150002,766,1585
223,0.412,0.042,6475.24,6475.81,766,1585
224,0.253,0.268,14135.5,14136.2,766,1585
225,0.461,36420.5,7453.22,43874.3,768,1589
