iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices,cascade_activations,faces_created,edges_created,add_face_calls,update_info_calls
46,0.059,0.038,12.322,12.511,166,359,0,0,0,0,5
47,0.152,0.127,22.036,22.409,166,359,0,0,0,0,6
48,0.064,0.042,12.855,13.057,166,359,0,0,0,0,5
49,0.088,733.111,11.566,744.851,170,367,1,48,40,24,31
50,1.337,0.292,38.141,39.897,170,367,0,0,0,0,6
51,0.116,0.037,13.22,13.454,170,367,0,0,0,0,4
52,0.052,340.555,23.369,364.074,172,371,0,24,20,12,16
53,0.587,0.08,19.314,20.144,172,371,0,0,0,0,5
54,0.047,0.032,12.11,12.281,172,371,0,0,0,0,5
55,0.047,865.747,0.733,866.617,177,382,2,60,52,30,36
56,0.498,0.205,28.736,29.539,177,382,0,0,0,0,7
57,0.102,1215.06,0.871,1216.15,183,394,2,72,60,36,40
58,0.578,728.689,31.614,760.963,188,405,2,60,52,30,36
59,38.92,559.665,20.664,619.346,190,409,0,24,20,12,16
60,0.308,673.3,12.488,686.254,194,417,1,48,40,24,31
61,0.525,991.12,0.744,992.47,199,428,2,60,52,30,36
62,30.412,766.991,25.907,823.434,201,432,0,24,20,12,16
63,0.407,1002.3,11.288,1014.08,207,444,2,72,60,36,47
64,0.42,0.037,28.02,28.565,207,444,0,0,0,0,8
65,0.058,0.131,21.197,21.483,207,444,0,0,0,0,4
66,0.059,0.034,20.989,21.189,207,444,0,0,0,0,5
67,0.196,690.191,11.393,701.861,211,452,1,48,40,24,28
68,0.951,0.201,43.504,44.738,211,452,0,0,0,0,5
69,0.2,0.296,27.939,28.524,211,452,0,0,0,0,5
70,0.16,2583.2,12.485,2595.93,221,472,4,120,100,60,74
71,39.867,283.695,17.609,341.309,223,476,0,24,20,12,16
72,0.382,977.306,8.132,985.9,229,488,2,72,60,36,47
73,0.593,979.695,0.876,981.238,234,499,2,60,52,30,36
74,0.51,594.884,30.288,625.755,236,503,0,24,20,12,16
75,0.437,167.399,13.6,181.526,238,507,0,24,20,12,16
76,0.179,153.34,19.881,173.477,240,511,0,24,20,12,16
77,0.073,0.094,20.045,20.295,240,511,0,0,0,0,6
78,0.048,0.038,16.922,17.092,240,511,0,0,0,0,8
79,0.044,0.032,21.555,21.714,240,511,0,0,0,0,8
80,0.045,0.031,15.415,15.567,240,511,0,0,0,0,6
81,0.044,0.033,8.804,8.957,240,511,0,0,0,0,4
82,0.047,0.136,24.969,25.228,240,511,0,0,0,0,7
83,32.297,1177.86,1.699,1211.94,244,519,1,48,40,24,28
84,0.898,905.79,11.254,918.032,250,531,2,72,60,36,47
85,0.425,0.049,36.168,36.751,250,531,0,0,0,0,8
86,0.203,0.217,33.096,33.613,250,531,0,0,0,0,8
87,0.052,0.033,21.376,21.557,250,531,0,0,0,0,6
88,0.052,0.072,13.9,14.119,250,531,0,0,0,0,4
89,0.106,0.036,14.528,14.763,250,531,0,0,0,0,4
90,0.171,1267.92,7.905,1276.09,258,547,3,96,80,48,58
91,0.439,616.518,1.093,618.123,262,555,1,48,40,24,28
92,0.37,0.078,22.144,22.676,262,555,0,0,0,0,8
93,0.074,150.247,11.729,162.132,264,559,0,24,20,12,16
94,0.055,0.032,27.33,27.5,264,559,0,0,0,0,8
95,0.164,141.898,14.502,156.648,266,563,0,24,20,12,16
96,0.149,720.674,9.458,730.36,272,575,2,72,60,36,47
97,0.529,107.05,12.896,120.564,274,579,0,24,20,12,16
98,0.182,0.163,21.589,22.022,274,579,0,0,0,0,6
99,0.077,402.427,23.452,426.182,276,583,0,24,20,12,16
100,1.081,1057.42,11.829,1070.51,284,599,3,96,80,48,62
101,0.476,0.101,30.832,31.715,284,599,0,0,0,0,8
102,0.119,201.566,23.981,225.748,286,603,0,24,20,12,16
103,0.16,97.607,11.307,109.172,288,607,0,24,20,12,16
104,0.218,751.146,12.913,764.357,292,615,1,48,40,24,31
105,0.75,826.192,0.733,827.762,298,627,2,72,60,36,40
106,0.583,0.049,32.582,33.302,298,627,0,0,0,0,5
107,0.051,182.304,0.466,182.902,301,634,1,36,32,18,21
108,0.309,1134.07,10.641,1145.1,307,646,2,72,60,36,47
109,0.568,162.439,12.448,175.673,309,650,0,24,20,12,16
110,0.11,0.044,26.094,26.337,309,650,0,0,0,0,8
111,0.052,0.034,13.193,13.367,309,650,0,0,0,0,4
112,417.285,168.946,17.896,604.267,311,654,0,24,20,12,16
113,0.186,0.036,16.025,16.338,311,654,0,0,0,0,5
114,0.153,0.034,32.815,33.247,311,654,0,0,0,0,5
115,0.306,1088.32,21.151,1109.86,315,662,1,48,40,24,31
116,0.445,1215.39,14.157,1230.08,322,677,3,84,72,42,55
117,0.456,0.033,18.886,19.46,322,677,0,0,0,0,8
118,0.208,1026.26,18.587,1045.13,330,693,3,96,80,48,62
119,0.475,0.03,20.607,21.189,330,693,0,0,0,0,8
120,0.045,0.03,20.466,20.615,330,693,0,0,0,0,4
121,0.043,613.723,1.174,615.017,334,701,1,48,40,24,28
122,0.59,0.101,25.025,25.804,334,701,0,0,0,0,6
123,0.151,147.072,22.314,169.616,336,705,0,24,20,12,16
124,65.315,276.59,18.233,360.244,338,709,0,24,20,12,16
125,0.198,1021.94,1.75,1023.96,344,721,2,72,60,36,40
126,0.608,502.234,13.815,516.763,350,733,2,72,60,36,47
127,0.727,161.132,15.115,177.079,352,737,0,24,20,12,16
128,0.401,311.374,22.135,334.012,354,741,0,24,20,12,16
129,0.374,902.471,1.482,904.458,358,749,1,48,40,24,28
130,0.539,1257.36,13.086,1271.08,365,764,3,84,72,42,52
131,0.432,0.036,20.526,21.091,365,764,0,0,0,0,8
132,0.05,0.035,9.869,10.048,365,764,0,0,0,0,4
133,73.042,84.183,10.78,168.128,366,767,0,12,12,6,9
134,0.166,1055.05,9.001,1064.31,374,783,3,96,80,48,59
135,0.741,442.187,8.844,451.871,378,791,1,48,40,24,31
136,0.255,0.071,17.534,17.958,378,791,0,0,0,0,6
137,0.052,154.337,18.026,172.513,380,795,0,24,20,12,16
138,0.142,0.044,20.666,20.955,380,795,0,0,0,0,8
139,0.048,0.035,10.947,11.125,380,795,0,0,0,0,4
140,68.14,499.663,26.768,594.683,382,799,0,24,20,12,16
141,0.4,0.174,62.877,63.554,382,799,0,0,0,0,8
142,0.154,303.217,10.224,313.791,386,807,1,48,40,24,31
143,0.116,0.051,16.659,16.92,386,807,0,0,0,0,5
144,0.17,121.528,15.97,137.756,388,811,0,24,20,12,16
145,0.142,0.204,20.187,20.623,388,811,0,0,0,0,4
146,0.239,0.082,27.36,27.771,388,811,0,0,0,0,6
147,0.052,0.033,18.901,19.068,388,811,0,0,0,0,6
148,0.159,614.333,14.084,628.665,392,819,1,48,40,24,31
149,0.798,315.464,10.151,326.502,396,827,1,48,40,24,31
150,0.222,592.107,24.754,617.171,400,835,1,48,40,24,31
151,0.467,628.191,36.253,665.009,404,843,1,48,40,24,31
152,0.831,502.648,16.249,519.831,410,855,2,72,60,36,43
153,0.256,0.052,19.592,20.036,410,855,0,0,0,0,4
154,0.322,337.464,12.034,349.916,414,863,1,48,40,24,31
155,0.38,813.814,0.555,814.863,420,875,2,72,60,36,43
156,0.482,859.862,13.154,873.571,426,887,2,72,60,36,43
157,89.329,123.962,13.44,226.908,427,890,0,12,12,6,9
158,0.179,0.034,20.25,20.556,427,890,0,0,0,0,5
159,0.237,714.02,15.023,729.362,431,898,1,48,40,24,31
160,0.508,0.069,17.75,18.403,431,898,0,0,0,0,4
161,0.164,1002.65,10.67,1013.56,439,914,3,96,80,48,62
162,0.363,131.262,16.126,147.828,441,918,0,24,20,12,16
163,0.072,104.446,23.88,128.483,443,922,0,24,20,12,16
164,0.142,390.571,25.365,416.178,445,926,0,24,20,12,16
165,0.437,0.033,28.691,29.253,445,926,0,0,0,0,8
166,0.051,0.031,11.801,11.975,445,926,0,0,0,0,4
167,0.048,0.031,24.843,25.013,445,926,0,0,0,0,8
168,0.049,123.56,16.326,140.093,447,930,0,24,20,12,16
169,0.103,945.923,19.815,965.938,453,942,2,72,60,36,43
170,0.594,412.035,8.273,420.98,459,954,2,72,60,36,47
171,0.39,260.998,18.32,279.78,461,958,0,24,20,12,16
172,0.24,366.867,7.057,374.273,469,974,3,96,80,48,59
173,0.387,577.615,16.585,594.675,473,982,1,48,40,24,31
174,0.582,282.21,11.553,294.435,477,990,1,48,40,24,31
175,0.265,394.613,24.462,419.437,479,994,0,24,20,12,16
176,0.519,0.189,48.708,49.501,479,994,0,0,0,0,8
177,0.233,122.725,19.886,142.942,481,998,0,24,20,12,16
178,0.105,279.932,0.544,280.66,485,1006,1,48,40,24,28
179,0.087,649.05,9.635,658.872,491,1018,2,72,60,36,47
180,0.482,0.036,20.684,21.302,491,1018,0,0,0,0,6
181,0.054,892.352,15.677,908.174,499,1034,3,96,80,48,58
182,0.377,91.638,19.356,111.47,501,1038,0,24,20,12,16
183,0.239,144.893,14.315,159.538,503,1042,0,24,20,12,16
184,0.153,362.556,24.379,387.179,505,1046,0,24,20,12,16
185,0.498,208.486,19.817,228.894,507,1050,0,24,20,12,16
186,0.251,87.6,14.14,102.083,509,1054,0,24,20,12,16
187,0.227,713.289,1.815,715.412,515,1066,2,72,60,36,40
188,0.638,0.111,24.1,24.937,515,1066,0,0,0,0,3
189,0.238,330.369,8.044,338.74,521,1078,2,72,60,36,47
190,0.131,153.369,16.211,169.799,523,1082,0,24,20,12,16
191,0.226,523.772,14.829,538.919,527,1090,1,48,40,24,31
192,0.689,0.193,42.441,43.413,527,1090,0,0,0,0,8
193,0.282,124.67,17.276,142.32,529,1094,0,24,20,12,16
194,0.068,739.413,18.529,758.177,535,1106,2,72,60,36,43
195,0.685,141.799,20.116,162.689,537,1110,0,24,20,12,16
196,113.097,227.83,21.124,362.146,539,1114,0,24,20,12,16
197,0.265,1024.42,8.705,1033.48,549,1134,4,120,100,60,77
198,0.814,728.638,11.913,741.44,553,1142,1,48,40,24,31
199,0.483,383.655,8.234,392.445,559,1154,2,72,60,36,43
200,0.212,406.668,32.774,439.747,561,1158,0,24,20,12,16
201,0.495,0.032,41.24,41.901,561,1158,0,0,0,0,8
202,0.175,1006.58,17.703,1024.54,569,1174,3,96,80,48,58
203,0.672,571.21,10.939,582.913,575,1186,2,72,60,36,47
204,0.306,500.989,29.258,530.639,577,1190,0,24,20,12,16
205,0.749,550.047,10.173,561.049,583,1202,2,72,60,36,46
206,0.336,0.048,27.816,28.283,583,1202,0,0,0,0,8
207,0.194,304.758,28.853,333.88,585,1206,0,24,20,12,16
208,0.594,0.273,37.015,37.976,585,1206,0,0,0,0,7
209,0.243,536.116,0.986,537.422,591,1218,2,72,60,36,43
210,0.537,207.726,20.855,229.207,593,1222,0,24,20,12,16
211,0.369,97.617,16.906,114.97,595,1226,0,24,20,12,16
212,0.31,78.971,14.775,94.305,597,1230,0,24,20,12,16
213,0.086,267.309,12.277,279.757,601,1238,1,48,40,24,31
214,0.278,81.939,12.435,94.744,602,1241,0,12,12,6,9
215,0.204,663.906,0.715,664.901,608,1253,2,72,60,36,43
216,1.066,0.224,44.871,46.255,608,1253,0,0,0,0,7
217,0.167,742.356,12.628,755.25,614,1265,2,72,60,36,47
218,1.103,288.034,0.736,289.954,618,1273,1,48,40,24,28
219,112.392,412.193,2.784,527.471,622,1281,1,48,40,24,28
220,0.864,519.367,9.248,529.584,630,1297,3,96,80,48,62
221,0.375,384.44,14.916,399.828,634,1305,1,48,40,24,31
222,0.238,0.052,21.5,21.888,634,1305,0,0,0,0,8
223,0.209,106.602,16.512,123.409,636,1309,0,24,20,12,16
224,0.256,0.091,12.648,13.08,636,1309,0,0,0,0,3
225,0.051,0.035,22.849,23.028,636,1309,0,0,0,0,8
226,0.259,742.84,10.759,753.946,644,1325,3,96,80,48,62
227,0.64,360.196,11.015,371.939,650,1337,2,72,60,36,43
228,0.258,631.444,0.515,632.31,654,1345,1,48,40,24,28
229,114.496,773.99,2.898,891.483,658,1353,1,48,40,24,28
230,0.781,383.797,9.511,394.178,664,1365,2,72,60,36,47
231,0.485,167.881,17.702,186.157,666,1369,0,24,20,12,16
232,0.209,374.805,34.566,409.68,668,1373,0,24,20,12,16
233,0.728,368.354,11.129,380.31,674,1385,2,72,60,36,47
234,0.587,648.129,10.87,659.711,680,1397,2,72,60,36,43
235,0.508,92.874,16.388,109.846,682,1401,0,24,20,12,16
236,0.063,606.141,8.996,615.276,688,1413,2,72,60,36,47
237,119.423,260.792,9.588,389.996,692,1421,1,48,40,24,31
238,0.129,0.029,22.626,22.886,692,1421,0,0,0,0,8
239,0.309,0.079,22.064,22.539,692,1421,0,0,0,0,5
240,0.259,258.5,0.653,259.48,696,1429,1,48,40,24,28
241,0.241,497.606,0.566,498.49,700,1437,1,48,40,24,28
242,0.607,0.194,37.151,38.032,700,1437,0,0,0,0,6
243,0.236,167.062,17.035,184.409,702,1441,0,24,20,12,16
244,0.173,768.254,16.961,785.464,710,1457,3,96,80,48,59
245,0.643,78.819,14.377,93.916,712,1461,0,24,20,12,16
246,0.056,0.036,21.718,21.893,712,1461,0,0,0,0,7
247,0.282,75.666,16.117,92.141,714,1465,0,24,20,12,16
248,0.169,0.042,15.111,15.408,714,1465,0,0,0,0,7
249,0.082,114.635,16.097,130.902,716,1469,0,24,20,12,16
250,1.215,337.306,70.302,408.971,718,1473,0,24,20,12,16
251,182.678,93.657,15.344,291.796,719,1476,0,12,12,6,9
252,0.328,0.162,38.426,39.018,719,1476,0,0,0,0,8
253,0.07,437.942,0.605,438.697,725,1488,2,72,60,36,43
254,66.842,95.033,20.735,182.733,727,1492,0,24,20,12,16
255,212.051,86.947,20.725,319.83,729,1496,0,24,20,12,16
256,145.783,87.429,13.363,246.689,730,1499,0,12,12,6,9
257,0.764,119.586,23.712,144.216,732,1503,0,24,20,12,16
258,0.096,84.51,14.808,99.496,734,1507,0,24,20,12,16
259,0.046,0.05,32.216,32.38,734,1507,0,0,0,0,7
260,0.147,0.078,29.866,30.172,734,1507,0,0,0,0,8
261,0.067,659.728,8.548,668.426,742,1525,4,96,84,48,60
262,0.593,191.05,22.072,213.837,745,1532,1,36,32,18,24
263,0.244,0.208,41.511,42.056,745,1532,0,0,0,0,8
264,0.208,310.917,26.266,337.49,746,1535,0,12,12,6,9
265,183.392,112.786,20.016,316.306,748,1539,0,24,20,12,16
266,0.1,181.169,0.596,181.945,752,1547,1,48,40,24,28
267,0.289,215.063,8.714,224.16,755,1554,1,36,32,18,24
268,0.255,550.723,0.775,551.833,759,1562,1,48,40,24,28
269,0.649,89.841,15.268,105.856,760,1565,0,12,12,6,9
270,0.231,562.766,8.022,571.111,767,1580,3,84,72,42,55
271,0.385,301.055,8.063,309.595,773,1592,2,72,60,36,47
272,0.181,431.381,2.465,434.121,777,1600,1,48,40,24,28
273,0.557,0.119,33.334,34.247,777,1600,0,0,0,0,5
274,0.225,320.197,14.892,335.419,781,1608,1,48,40,24,31
275,0.274,102.781,16.766,119.915,783,1612,0,24,20,12,16
276,0.124,0.172,25.464,25.852,783,1612,0,0,0,0,5
277,0.118,115.614,16.561,132.385,785,1616,0,24,20,12,16
278,0.121,0.314,19.041,19.569,785,1616,0,0,0,0,5
279,0.213,476.064,0.665,477.022,789,1624,1,48,40,24,28
280,144.962,78.04,29.437,252.571,790,1627,0,12,12,6,9
281,0.313,0.053,22.958,23.42,790,1627,0,0,0,0,5
282,0.116,809.819,15.27,825.302,798,1645,4,96,84,48,60
283,0.685,0.167,30.388,31.331,798,1645,0,0,0,0,5
284,1.253,316.755,8.821,326.917,804,1657,2,72,60,36,47
285,163.722,288.027,36.797,488.647,806,1661,0,24,20,12,16
286,0.688,0.063,37.976,38.817,806,1661,0,0,0,0,8
287,195.157,495.253,1.773,692.289,812,1673,2,72,60,36,43
288,0.558,160.964,9.639,171.314,816,1681,1,48,40,24,31
289,0.139,0.039,21.262,21.519,816,1681,0,0,0,0,7
290,136.364,111.133,19.498,267.088,818,1685,0,24,20,12,16
291,0.095,172.298,9.768,182.236,822,1693,1,48,40,24,31
292,0.102,0.039,33.886,34.107,822,1693,0,0,0,0,8
293,0.047,532.63,15.678,548.44,829,1708,3,84,72,42,52
294,0.731,181.052,0.487,182.346,833,1716,1,48,40,24,28
295,0.33,0.317,44.62,45.358,833,1716,0,0,0,0,8
296,0.166,212.814,0.525,213.58,836,1723,1,36,32,18,21
297,390.692,129.18,27.396,547.374,838,1727,0,24,20,12,16
298,0.502,95.261,21.361,117.218,840,1731,0,24,20,12,16
299,0.258,121.97,16.286,138.607,842,1735,0,24,20,12,16
300,1.404,145.41,28.224,175.189,844,1739,0,24,20,12,16
301,167.704,104.961,19.221,292.021,846,1743,0,24,20,12,16
302,0.129,439.629,10.246,450.098,850,1751,1,48,40,24,31
303,0.4,181.391,8.578,190.458,854,1759,1,48,40,24,31
304,0.198,176.473,9.895,186.652,858,1767,1,48,40,24,31
305,473.947,237.966,10.592,722.673,862,1775,1,48,40,24,31
306,0.352,0.037,36.311,36.8,862,1775,0,0,0,0,8
307,0.184,83.663,16.369,100.308,864,1779,0,24,20,12,16
308,0.247,0.168,25.066,25.568,864,1779,0,0,0,0,5
309,0.085,0.117,24.12,24.416,864,1779,0,0,0,0,5
310,106.014,182.801,0.636,289.549,867,1786,1,36,32,18,21
311,0.216,0.208,30.2,30.725,867,1786,0,0,0,0,7
312,0.25,132.727,17.438,150.516,869,1790,0,24,20,12,16
313,242.091,78.441,18.765,339.409,871,1794,0,24,20,12,16
314,0.203,256.669,6.987,263.942,877,1806,2,72,60,36,47
315,0.264,445.317,2.524,448.18,881,1814,1,48,40,24,28
316,0.705,540.712,15.956,557.478,887,1826,2,72,60,36,47
317,1.107,0.181,32.168,33.559,887,1826,0,0,0,0,5
318,0.244,0.234,29.086,29.656,887,1826,0,0,0,0,5
319,0.26,111.224,19.556,131.142,889,1830,0,24,20,12,16
320,0.311,0.167,33.207,33.764,889,1830,0,0,0,0,5
321,0.069,82.17,17.39,99.893,891,1834,0,24,20,12,16
322,0.202,375.727,0.636,376.645,895,1842,1,48,40,24,28
323,0.756,0.174,33.512,34.534,895,1842,0,0,0,0,5
324,0.34,201.975,0.425,202.82,898,1849,1,36,32,18,21
325,0.195,241.501,0.776,242.553,902,1857,1,48,40,24,28
326,0.132,0.05,34.3,34.593,902,1857,0,0,0,0,8
327,0.055,220.05,17.347,237.603,904,1861,0,24,20,12,16
328,0.271,0.107,26.155,26.629,904,1861,0,0,0,0,5
329,0.187,71.291,19.451,91.022,906,1865,0,24,20,12,16
330,0.295,0.205,36.055,36.647,906,1865,0,0,0,0,8
331,0.051,0.244,25.834,26.227,906,1865,0,0,0,0,7
332,0.052,0.09,28.454,28.695,906,1865,0,0,0,0,8
333,0.051,742.511,16.884,759.543,914,1883,4,96,84,48,60
334,0.807,0.033,31.669,32.606,914,1883,0,0,0,0,8
335,139.825,100.212,20.079,260.228,916,1887,0,24,20,12,16
336,0.202,302.618,0.619,303.517,920,1895,1,48,40,24,28
337,0.081,238.057,44.087,282.315,922,1899,0,24,20,12,16
338,0.601,0.274,44.143,45.111,922,1899,0,0,0,0,8
339,0.234,115.88,24.157,140.357,924,1903,0,24,20,12,16
340,0.128,114.534,17.012,131.763,926,1907,0,24,20,12,16
341,0.187,82.842,17.572,100.695,928,1911,0,24,20,12,16
342,0.103,105.392,26.392,131.974,930,1915,0,24,20,12,16
343,0.052,0.264,34.463,34.867,930,1915,0,0,0,0,8
344,0.059,422.455,2.064,424.667,934,1923,1,48,40,24,28
345,0.721,93.374,22.816,117.032,936,1927,0,24,20,12,16
346,170.543,107.388,20.35,298.417,938,1931,0,24,20,12,16
347,0.144,581.698,25.7,607.635,944,1943,2,72,60,36,47
348,0.645,281.212,0.606,282.544,948,1951,1,48,40,24,28
349,0.125,0.043,29.08,29.34,948,1951,0,0,0,0,8
350,8.084,0.091,43.285,51.635,948,1951,0,0,0,0,8
351,0.312,0.099,29.915,30.411,948,1951,0,0,0,0,5
352,0.193,0.171,34.269,34.717,948,1951,0,0,0,0,8
353,0.215,261.636,0.418,262.338,953,1962,2,60,52,30,36
354,0.189,0.097,24.137,24.498,953,1962,0,0,0,0,5
355,0.14,380.112,39.01,419.345,955,1966,0,24,20,12,16
356,0.716,232.357,15.157,248.311,959,1974,1,48,40,24,31
357,0.116,231.335,0.687,232.219,963,1982,1,48,40,24,28
358,0.329,0.186,49.057,49.665,963,1982,0,0,0,0,8
359,0.166,0.207,18.449,19.006,963,1982,0,0,0,0,5
360,0.342,101.798,28.225,130.458,965,1986,0,24,20,12,16
361,0.295,0.228,206.34,207.054,965,1986,0,0,0,0,8
362,0.993,321.173,12.835,335.086,969,1994,1,48,40,24,31
363,0.179,213.826,8.656,222.769,973,2002,1,48,40,24,31
364,0.237,115.051,29.342,144.705,975,2006,0,24,20,12,16
365,0.107,342.988,29.775,372.961,977,2010,0,24,20,12,16
366,0.938,0.128,46.423,47.581,977,2010,0,0,0,0,5
367,215.558,120.947,21.2,357.831,979,2014,0,24,20,12,16
368,0.114,0.076,41.721,42.038,979,2014,0,0,0,0,6
369,0.054,0.035,33.303,33.491,979,2014,0,0,0,0,8
370,0.119,0.068,32.726,33.006,979,2014,0,0,0,0,8
371,0.244,115.168,18.38,134.014,981,2018,0,24,20,12,16
372,0.205,192.456,0.49,193.231,985,2026,1,48,40,24,28
373,0.272,577.894,9.143,587.415,991,2038,2,72,60,36,47
374,0.472,192.392,9.145,202.099,995,2046,1,48,40,24,31
375,158.78,356.693,69.053,584.624,997,2050,0,24,20,12,16
376,0.943,0.12,80.415,81.582,997,2050,0,0,0,0,8
377,0.345,0.289,50.866,51.614,997,2050,0,0,0,0,7
378,0.2,259.931,14.243,274.477,1001,2058,1,48,40,24,31
379,0.299,91.078,17.171,108.645,1003,2062,0,24,20,12,16
380,0.051,0.105,27.061,27.318,1003,2062,0,0,0,0,5
381,0.124,0.07,24.82,25.113,1003,2062,0,0,0,0,6
382,0.126,200.026,11.173,211.418,1006,2069,1,36,32,18,24
383,0.185,396.354,64.017,460.637,1008,2073,0,24,20,12,16
384,0.465,347.958,6.934,355.466,1014,2085,2,72,60,36,47
385,134.504,109.131,20.177,263.981,1016,2089,0,24,20,12,16
386,0.263,0.131,16.477,16.964,1016,2089,0,0,0,0,5
387,0.1,521.085,9.972,531.241,1020,2097,1,48,40,24,31
388,0.377,186.059,0.53,187.037,1023,2104,1,36,32,18,21
389,0.214,159.423,0.521,160.232,1027,2112,1,48,40,24,28
390,0.181,343.839,51.777,395.88,1029,2116,0,24,20,12,16
391,0.812,314.714,12.532,328.148,1032,2123,1,36,32,18,24
392,0.441,0.043,319.284,319.955,1032,2123,0,0,0,0,7
393,1.75,0.246,58.241,60.392,1032,2123,0,0,0,0,5
394,1.491,368.115,10.553,380.328,1038,2135,2,72,60,36,47
395,0.492,751.293,29.925,781.804,1040,2139,0,24,20,12,16
396,0.807,0.081,38.433,39.411,1040,2139,0,0,0,0,6
397,0.263,346.559,0.82,347.78,1045,2150,2,60,52,30,36
398,0.203,89.234,16.73,106.257,1047,2154,0,24,20,12,16
399,0.14,0.075,23.839,24.144,1047,2154,0,0,0,0,5
400,1.398,0.448,51.562,53.563,1047,2154,0,0,0,0,5
401,0.285,293.998,31.205,325.583,1049,2158,0,24,20,12,16
402,0.91,230.676,19.346,251.021,1051,2162,0,24,20,12,16
403,0.415,0.177,20.374,21.058,1051,2162,0,0,0,0,5
404,0.262,0.216,26.097,26.651,1051,2162,0,0,0,0,6
405,0.044,201.415,0.577,202.106,1055,2170,1,48,40,24,28
406,0.356,0.216,19.946,20.596,1055,2170,0,0,0,0,5
407,0.184,72.244,15.658,88.163,1057,2174,0,24,20,12,16
408,0.044,544.132,18.185,562.455,1064,2189,3,84,72,42,52
409,0.565,0.142,32.814,33.613,1064,2189,0,0,0,0,5
410,0.517,79.883,17.638,98.132,1066,2193,0,24,20,12,16
411,0.302,273.949,0.374,274.704,1072,2205,2,72,60,36,43
412,0.226,0.143,19.063,19.52,1072,2205,0,0,0,0,5
413,0.052,0.034,26.296,26.509,1072,2205,0,0,0,0,8
414,0.048,0.032,16.554,16.724,1072,2205,0,0,0,0,5
415,0.27,281.211,28.866,310.43,1074,2209,0,24,20,12,16
416,0.391,178.59,11.043,190.092,1078,2217,1,48,40,24,31
417,0.175,0.17,33.122,33.547,1078,2217,0,0,0,0,8
418,0.143,66.792,17.389,84.405,1080,2221,0,24,20,12,16
419,0.154,377.726,2.409,380.421,1084,2229,1,48,40,24,28
420,1.057,123.536,20.894,145.58,1086,2233,0,24,20,12,16
421,0.199,0.228,54.496,55.018,1086,2233,0,0,0,0,8
