iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices,cascade_activations,faces_created,edges_created,add_face_calls,update_info_calls
0,4.18,20380.7,0.729,20385.7,5,16,1,36,32,18,22
1,0.517,11629.5,0.74,11630.8,9,26,2,48,44,24,27
2,0.567,14538.5,0.581,14539.7,17,44,4,96,84,48,54
3,0.889,14151.2,12.525,14164.8,22,55,2,60,52,30,36
4,0.446,5657.2,13.14,5670.86,30,73,4,96,84,48,60
5,4.542,5706,14.683,5725.37,32,77,0,24,20,12,16
6,0.682,7467.9,9.164,7477.83,48,109,7,192,160,96,113
7,0.471,3810.52,0.613,3811.69,57,128,4,108,92,54,60
8,0.522,493.69,12.204,506.51,58,131,0,12,12,6,9
9,12.515,1454.98,17.663,1485.28,60,135,0,24,20,12,16
10,0.887,2536.94,20.641,2558.62,68,151,3,96,80,48,58
11,11.759,300.242,12.807,324.902,70,155,0,24,20,12,16
12,0.46,245.358,8.704,254.612,71,158,0,12,12,6,9
13,0.105,0.048,13.696,13.943,71,158,0,0,0,0,5
14,6.84,1397.48,13.917,1418.32,72,161,0,12,12,6,9
15,0.653,1225.18,0.787,1226.7,75,168,1,36,32,18,22
16,0.596,0.211,19.161,20.047,75,168,0,0,0,0,5
17,11.269,671.687,1.721,684.772,78,175,1,36,32,18,21
18,0.755,0.152,28.538,29.543,78,175,0,0,0,0,5
19,11.429,4133.31,15.476,4160.32,84,187,2,72,60,36,43
20,0.475,5789.27,18.224,5808.04,92,205,4,96,84,48,60
21,0.563,3495.68,11.864,3508.2,104,229,5,144,120,72,89
22,0.698,3970.06,9.387,3980.24,113,248,4,108,92,54,66
23,0.369,209.65,7.591,217.688,114,251,0,12,12,6,9
24,0.096,1641.92,2.252,1644.34,117,258,1,36,32,18,22
25,0.819,2107.2,0.887,2108.98,125,274,3,96,80,48,55
26,18.203,747.115,20.234,785.785,127,278,0,24,20,12,16
27,0.515,1137.2,11.957,1149.76,134,293,3,84,72,42,52
28,0.558,471.866,11.044,483.564,135,296,0,12,12,6,9
29,30.757,444.399,16.655,491.926,137,300,0,24,20,12,16
30,0.14,999.557,9.009,1008.79,143,312,2,72,60,36,47
31,0.618,1958.13,11.334,1970.18,151,328,3,96,80,48,62
32,0.629,0.036,20.459,21.212,151,328,0,0,0,0,8
33,0.062,203.964,13.715,217.845,153,332,0,24,20,12,16
34,0.113,1552.33,0.617,1553.15,159,344,2,72,60,36,43
35,0.472,423.54,10.22,434.309,163,352,1,48,40,24,31
36,0.213,0.032,22.12,22.448,163,352,0,0,0,0,8
37,0.043,375.625,24.191,399.948,165,356,0,24,20,12,16
38,0.458,0.047,26.738,27.342,165,356,0,0,0,0,6
39,0.343,0.117,39.676,40.24,165,356,0,0,0,0,8
40,0.08,0.211,26.269,26.664,165,356,0,0,0,0,6
41,34.902,313.718,12.952,361.739,166,359,0,12,12,6,9
42,0.315,0.056,17.309,17.778,166,359,0,0,0,0,5
43,0.058,0.041,13.502,13.703,166,359,0,0,0,0,5
44,0.058,0.038,16.257,16.503,166,359,0,0,0,0,6
45,0.058,0.037,14.242,14.427,166,359,0,0,0,0,5
