iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
0,4.294,0.232,8.749,13.37,2,9
1,0.103,76306.8,0.649,76307.7,5,16
2,0.214,72389.1,0.977,72390.4,9,26
3,0.291,53305.8,1.147,53307.3,13,36
4,0.284,10698.5,11.089,10710,14,39
5,2343.78,29308.2,11.519,31663.6,15,42
6,0.368,137079,1.435,137081,25,62
7,0.463,186171,13.754,186186,38,89
8,0.439,0.029,20.019,20.562,38,89
9,5881.7,15912.6,10.902,21805.3,39,92
10,0.255,83666.3,20.489,83687.2,45,104
11,8447.27,16764.3,16.244,25228,46,107
12,0.343,75091.4,2.354,75094.2,52,119
13,1.255,0.245,61.241,62.858,52,119
14,8981.38,42395.4,19.683,51396.7,54,123
15,0.377,40871.7,2.767,40875,58,131
16,0.274,64077.1,3.359,64080.9,63,142
17,12374.3,41979.7,25.529,54379.7,65,146
18,0.345,138185,3.634,138189,73,162
19,15001.8,74761.4,3.627,89766.9,78,173
20,0.273,134237,25.41,134263,88,193
21,0.362,129241,24.541,129266,97,212
22,0.331,213812,32.902,213845,113,244
23,0.592,88158.6,36.375,88195.6,120,259
24,0.292,202819,40.094,202859,136,291
25,0.553,79552.6,36.037,79589.3,143,306
26,22664.4,12485.4,28.185,35178.1,144,309
27,0.31,11638.5,39.02,11677.9,145,312
28,0.325,0.057,47.761,48.241,145,312
29,23102.5,42846.7,5.922,65955.3,148,319
30,0.298,0.12,54.531,55.035,148,319
31,0.097,0.074,56.413,56.667,148,319
32,0.055,21264,52.979,21317.1,150,323
33,0.329,57778.6,42.88,57821.9,155,334
34,0.529,0.031,75.483,76.132,155,334
35,0.049,99513.9,36.503,99550.6,163,350
36,0.384,75903.1,32.492,75936.1,170,365
37,0.277,45336.4,53.886,45390.7,174,373
38,0.37,76076.8,43.482,76120.8,181,388
39,0.259,37575.8,9.382,37585.6,184,395
40,0.399,65466.5,49.946,65517,190,407
41,30779.2,30680.6,48.435,61508.3,192,411
42,0.26,25396.5,51.303,25448.1,194,415
43,0.605,111351,49.896,111401,202,431
44,0.453,45843,51.482,45895,206,439
45,0.604,214624,62.406,214687,221,470
46,0.466,83920,6.6,83927.1,227,482
47,0.26,0.031,75.787,76.167,227,482
48,0.048,167696,46.66,167742,239,506
49,0.66,202447,40.328,202488,255,538
50,1.103,12068.9,47.171,12117.3,256,541
51,0.457,77518.6,50.649,77569.8,263,556
